"","unlistTitulosgenero","Freq","unlistTitulostitulos","Freq","Var1","Freq"
"479","Género(s):ComediaDramaJoseiRomance",4,"Fairy Tail",1,"3582",1
"480","Género(s):ComediaDramaPsicolóGico Recuentos De La VidaSeinenVida Escolar",1,"Fairy Tail Gaiden - Road Knight",1,"3586",1
"481","Género(s):ComediaDramaPsicolóGicoRecuentos De La VidaRomanceSeinen",2,"fairy tail hentai",1,"3587",1
"482","Género(s):ComediaDramaPsicolóGicoRecuentos De La VidaSeinenVida Escolar",1,"Fairy Tail: 100 Years Quest",1,"3591",1
"483","Género(s):ComediaDramaPsicolóGicoRomanceShojoVida Cotidiana",2,"FAKE MARRIAGE TRUE LOVE",2,"3661",1
"484","Género(s):ComediaDramaRecuentos De La VidaRomanceSeinenTragedia",2,"Fall In Love With A Gangster",1,"3662",1
"485","Género(s):ComediaDramaRecuentos De La VidaRomanceShojoVida Escolar",9,"family play",1,"3664",2
"486","Género(s):ComediaDramaRecuentos De La VidaRomanceShojoVida Escolar ",1,"Faster than a kiss",1,"3665",1
"487","Género(s):ComediaDramaRecuentos De La VidaRomanceVida Escolar",3,"Faster Than Kiss",1,"3668",1
"488","Género(s):ComediaDramaRecuentos De La VidaRomanceVida EscolarYaoi",1,"Fate kaleid liner Prisma Illya 3rei!!",1,"3675",1
"489","Género(s):ComediaDramaRecuentos De La VidaRomanceYaoi",2,"Fate/Apocrypha.",1,"3677",1
"490","Género(s):ComediaDramaRecuentos De La VidaRomanceYaoi (Soft)",1,"Felices por siempre",1,"3680",1
"491","Género(s):ComediaDramaRomance",4,"Feng Kai Cang Lang",2,"3682",1
"492","Género(s):ComediaDramaRomance ShojoSobrenaturalVida Escolar",1,"Feng Shen Ji",1,"3688",1
"493","Género(s):ComediaDramaRomanceEscolar",1,"Fenrir-nee-san to boku",1,"3694",1
"494","Género(s):ComediaDramaRomanceEscolarShojo",2,"Finder Series",2,"3695",1
"495","Género(s):ComediaDramaRomanceEscolarShojoVida Cotidiana",7,"Fire Punch",2,"3696",1
"496","Género(s):ComediaDramaRomanceEscolarShojoVida CotidianaSmut",1,"First Girl",1,"3697",1
"497","Género(s):ComediaDramaRomanceEscolarShounenVida Cotidiana",1,"Flame of Recca",1,"3701",1
"498","Género(s):ComediaDramaRomanceSeinen",1,"Flash Marriage Astonishing Love",1,"3704",1
"499","Género(s):ComediaDramaRomanceSeinenSobrenaturalVida Escolar",1,"Flawless",2,"3705",1
"500","Género(s):ComediaDramaRomanceShojo",1,"Fluttering Feelings",1,"3707",1
"501","Género(s):ComediaDramaRomanceShojoSobrenaturalVida Escolar",1,"Fools",1,"3708",1
"502","Género(s):ComediaDramaRomanceShojoVida Escolar",9,"Football Girl",1,"3709",1
"503","Género(s):ComediaDramaRomanceShonen-Ai Vida EscolarYaoi",1,"Football Girl (Shuukyuu Shoujo)",1,"3710",1
"504","Género(s):ComediaDramaRomanceShounenDeportes",2,"Forever Mine",1,"3712",1
"505","Género(s):ComediaDramaRomanceTragediaWebcomic",1,"Freak Island",2,"3714",1
"506","Género(s):ComediaDramaRomanceVida CotidianaYaoi",1,"Frozen heart",1,"3717",2
"507","Género(s):ComediaDramaRomanceVida EscolarPsicolóGicoTragedia",1,"Fujimura-kun Mates",2,"3783",1
"508","Género(s):ComediaDramaRomanceVida EscolarRecuentos De La Vida",1,"Fujiwara-Kun Wa Daitai Tadashii",1,"3787",1
"509","Género(s):ComediaDramaRomanceVida EscolarTragedia",1,"Fujiyama-san wa Shishunki",3,"3789",1
"510","Género(s):ComediaDramaRomanceVida EscolarYaoi",2,"Fukigen Kareshi no Nadamekata",1,"3790",1
"511","Género(s):ComediaDramaRomanceVida EscolarYaoi (Soft)",1,"Fukigen na Mononokean",2,"3792",3
"512","Género(s):ComediaDramaRomanceWebcomic",3,"Fukouchuu no Shiawase",1,"3799",1
"513","Género(s):ComediaDramaRomanceYaoi",7,"Fukumenkei Noise",1,"3800",3
"514","Género(s):ComediaDramaRomanceYaoi (Soft)",2,"Fumetsu No Anata E",1,"3801",1
"515","Género(s):ComediaDramaSeinenVida Cotidiana",2,"Furachi na Otokotachi",2,"3803",1
"516","Género(s):ComediaDramaShounenDeportes",1,"Fureru to Kikoeru",1,"3810",1
"517","Género(s):ComediaDramaWebcomic",1,"Furuya-sensei wa An-chan no Mono",1,"3811",2
"518","Género(s):ComediaEcchi",1,"Fury (Kuang Shen)",3,"3815",1
"519","Género(s):ComediaEcchi Recuentos De La VidaRomanceSeinenVida Escolar",1,"Fushigi no Kuni no Arisugawa-san",2,"3817",1
"520","Género(s):ComediaEcchiDemoniosFantasíA",2,"Futaba-san Chi no Kyoudai",3,"3819",3
"521","Género(s):ComediaEcchiDeportesVida Escolar",2,"Futari Monologue",1,"3820",2
"522","Género(s):ComediaEcchiDramaRomanceSuspenseVida Escolar",1,"Futsutsuka na Oyako de wa Arimasu ga",1,"3821",1
"523","Género(s):ComediaEcchiFamiliaHaremRomanceWebcomic",1,"Fuutsu ni Naritai",1,"3822",1
"524","Género(s):ComediaEcchiFantasíA",2,"Fuyou Kareshi",1,"3823",1
"525","Género(s):ComediaEcchiFantasíAGender BenderRomanceEscolarSeinen",2,"Gabriel Dropout",1,"3824",3
"526","Género(s):ComediaEcchiFantasíAHarem",1,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekake-chuu",1,"3826",2
"527","Género(s):ComediaEcchiFantasíAHaremMaduroRomanceSeinenSobrenatural",1,"Gakuen Alice",3,"3830",1
"528","Género(s):ComediaEcchiFantasíAHaremRomanceSeinenSobrenatural ",1,"Gakuen Babysitters",1,"3831",1
"529","Género(s):ComediaEcchiFantasíARomanceVida EscolarSobrenatural",2,"Gal Gohan",1,"3833",1
"530","Género(s):ComediaEcchiGender BenderHaremRomanceEscolarSeinen ",1,"Gamble Fish",1,"3834",1
"531","Género(s):ComediaEcchiGéNero BenderGirls LoveRomanceVida Escolar",1,"Game - Suit no Sukima -",2,"3840",1
"532","Género(s):ComediaEcchiGéNero BenderRomance",1,"Game obu Familia – Family Senki",1,"3848",1
"533","Género(s):ComediaEcchiHarem MaduroRecuentos De La VidaSeinen",1,"Gangsta",1,"3849",1
"534","Género(s):ComediaEcchiHaremMaduroRomance Seinen",1,"Ganster Darling",1,"3851",1
"535","Género(s):ComediaEcchiHaremMaduroRomanceSeinen",3,"GE - Good Ending",1,"3852",1
"536","Género(s):ComediaEcchiHaremRecuentos De La VidaRomance",3,"Gekijou Komoriuta",1,"3853",1
"537","Género(s):ComediaEcchiHaremRecuentos De La VidaRomanceSeinenVida Escolar",1,"Gelateria Supernova",2,"3857",1
"538","Género(s):ComediaEcchiHaremRomance",1,"general azul vs bulma(dragon ball hentai)",1,"3862",1
"539","Género(s):ComediaEcchiHaremRomanceEscolarCiencia FiccióNShounenSobrenatural",1,"Genjitsushugisha no Oukokukaizouki",1,"3863",1
"540","Género(s):ComediaEcchiHaremRomanceEscolarSeinenVida Cotidiana",1,"Gesu BL",1,"3878",1
"541","Género(s):ComediaEcchiHaremRomanceSeinen",2,"Gesu to Abazure",1,"3882",1
"542","Género(s):ComediaEcchiHaremRomanceSeinenSobrenatural",1,"GetBackers",2,"3888",1
"543","Género(s):ComediaEcchiHaremRomanceShonenVida Escolar",1,"Ghost Love",1,"3891",1
"544","Género(s):ComediaEcchiHaremRomanceVida Escolar",1,"Ghost wife",2,"3895",1
"545","Género(s):ComediaEcchiHaremRomanceWebcomic",1,"Ghostly Doctor",1,"3901",1
"546","Género(s):ComediaEcchiHaremSeinenSobrenaturalVida EscolarYuri",1,"Gintama",2,"3902",1
"547","Género(s):ComediaEcchiHaremSuper PoderesFantasíA",1,"Girl Friends",1,"3906",1
"548","Género(s):ComediaEcchiHaremVida EscolarWebcomic",1,"Girl In My Dream",1,"3926",1
"549","Género(s):ComediaEcchiMaduro",1,"Girls of the Wilds",2,"3927",1
"550","Género(s):ComediaEcchiMaduroMisterio",1,"Girls Saurus DX",1,"3930",2
"551","Género(s):ComediaEcchiMaduroRecuentos De La VidaRomance",1,"GIVEN",2,"3932",1
"552","Género(s):ComediaEcchiMaduroRomanceSeinenVida Cotidiana",1,"Glass no Megami",2,"3933",2
"553","Género(s):ComediaEcchiMaduroSeinen",1,"Gleipnir",1,"3934",1
"554","Género(s):ComediaEcchiMaduroSeinenVida Escolar",1,"GOBLIN IS VERY STRONG",1,"3935",3
"555","Género(s):ComediaEcchiMaduroShonenSobrenatural",1,"Goblin Slayer Mini-Parodias",1,"3937",1
"556","Género(s):ComediaEcchiRecuentos De La VidaRomanceSeinen",1,"Goblin Slayer: Year One",1,"3939",2
"557","Género(s):ComediaEcchiRecuentos De La VidaRomanceSeinenVida Escolar",1,"Gochisousama",1,"3940",1
"558","Género(s):ComediaEcchiRecuentos De La VidaRomanceShonenVida Escolar",2,"God Among Men",1,"3943",1
"559","Género(s):ComediaEcchiRecuentos De La VidaRomanceVida Escolar",1,"God of Martial Arts",1,"3949",1
"560","Género(s):ComediaEcchiRecuentos De La VidaSeinenVida Escolar",2,"GoHoubi Chikubi",1,"3950",1
"561","Género(s):ComediaEcchiRecuentos De La VidaShonenVida Escolar",1,"Gokukoku no Brynhildr",1,"3959",1
"562","Género(s):ComediaEcchiRomance",2,"Gokushufudou",1,"3961",2
"563","Género(s):ComediaEcchiRomanceDeportes",1,"Golden Boy",1,"3962",1
"564","Género(s):ComediaEcchiRomanceSeinenSobrenaturalVida Escolar",4,"Golden Days",1,"3963",1
"565","Género(s):ComediaEcchiRomanceSeinenVida Escolar",4,"Golden Kamuy",1,"3967",1
"566","Género(s):ComediaEcchiRomanceShonenSobrenaturalVida Escolar",2,"Good Ending",1,"3974",1
"567","Género(s):ComediaEcchiRomanceVida Escolar",5,"Good night world",1,"3976",2
"568","Género(s):ComediaEcchiRomanceVida EscolarSobrenatural",1,"GOOGOOKAKA",2,"3977",1
"569","Género(s):ComediaEcchiRomanceWebcomic",1,"Gosan no Heart",2,"3979",1
"570","Género(s):ComediaEcchiSeinen",1,"Gou-Dere Bishoujo Nagihara Sora",1,"3985",1
"571","Género(s):ComediaEcchiWebcomic",1,"Gozen 0-ji- Kiss Shi ni Kite yo",2,"3989",1
"572","Género(s):ComediaEcchiYuri (Soft)",1,"Grand Blue",2,"3991",1
"573","Género(s):ComediaEscolarShounenSobrenatural",1,"Great Teacher Onizuka",1,"3998",1
"574","Género(s):ComediaFamiliaRomance",1,"GREATEST OUTCAST",1,"4000",1
"575","Género(s):ComediaFantasíAEscolarShojoShounen AiSobrenatural",1,"Green Boy",1,"4002",2
"576","Género(s):ComediaFantasíAGender BenderMagiaRomanceSeinenVida Escolar",1,"GTO Paradise Lost",1,"4003",1
"577","Género(s):ComediaFantasíAGL (Girls Love)",1,"GTO Shonan 14 Days",1,"4007",1
"578","Género(s):ComediaFantasíAHaremRecuentos De La VidaRomanceSeinenVida Escolar",1,"Guerras De Julio.",1,"4009",1
"579","Género(s):ComediaFantasíAHaremRomance",1,"Guest House",1,"4013",1
"580","Género(s):ComediaFantasíAHaremRomanceRecuentos De La Vida",1,"Gun-Ota ga Mahoe Sekai ni Tensei Shitara- Gendai Heiki de Guntai Harem o Tsukucchaimashita!?",2,"4014",1
"581","Género(s):ComediaFantasíAHaremRomanceShojoSobrenatural",1,"Guomin Laogong Dai Huijia",1,"4015",1
"582","Género(s):ComediaFantasíAHistóRicoRomance",2,"Gyaru to Otaku wa Wakari Aenai",1,"4016",2
"583","Género(s):ComediaFantasíAHistóRicoShojoSobrenaturalVida Escolar",1,"H Mate",2,"4017",3
"584","Género(s):ComediaFantasíAMagiaAventuraReencarnacióN",1,"Hachi-nan tte Sore wa Nai deshou!",3,"4020",1
"585","Género(s):ComediaFantasíAMisterioRomanceSobrenaturalVida Escolar",1,"Hachi Ichi",1,"4021",1
"586","Género(s):ComediaFantasíARecuentos De La VidaReencarnacióNSobrenatural",1,"Hachimitsu ni Hatsukoi",1,"4022",2
"587","Género(s):ComediaFantasíARecuentos De La VidaSeinenShoujo-Ai",1,"Hachinan tte- Sore Wa Nai Deshou!",1,"4023",1
"588","Género(s):ComediaFantasíARecuentos De La VidaSobrenatural",2,"Hahri's Lumpy Star",1,"4024",1
"589","Género(s):ComediaFantasíARomance",3,"Haikyuu!!",1,"4029",1
"590","Género(s):ComediaFantasíARomanceEscolarShounen Vida Cotidiana",1,"Haikyuu!! DJ Caramel Panic",1,"4030",1
"591","Género(s):ComediaFantasíARomanceMisterio DramaVida Escolar",1,"Haji-Otsu-",1,"4032",1
"592","Género(s):ComediaFantasíARomanceShojoSobrenatural",3,"Hajimari no Niina",1,"4033",1
"593","Género(s):ComediaFantasíARomanceShonenSobrenatural",1,"Hajime no Ippo",1,"4036",1
"594","Género(s):ComediaFantasíARomanceSobrenaturalVida Escolar",2,"Hajimete Koi o Shita Hi ni Yomu Hanashi",1,"4039",1
"595","Género(s):ComediaFantasíARomanceVampirosWebcomic",1,"Hajimeteno",1,"4040",1
"596","Género(s):ComediaFantasíASobrenatural",1,"Hakaiju",1,"4041",2
"597","Género(s):ComediaFantasíAVida EscolarSobrenaturalDemonios",2,"Hakaijuu",4,"4042",1
"598","Género(s):ComediaFantasíAYaoi",2,"HAKASE TO SURAIMU-CHAN",2,"4044",1
"599","Género(s):ComediaGender Bender",1,"Hakoiri Devil Princess",3,"4046",1
"600","Género(s):ComediaGender Bender HaremRomanceEscolarShojoShounen",1,"Hakoiri Drops",2,"4048",1
"601","Género(s):ComediaGender BenderMaduroRomanceShojoVida Escolar",1,"Hakoniwa no Soleil",1,"4049",2
"602","Género(s):ComediaGender BenderRomanceEscolarShojo",1,"Hakushaku-sama wa Amai Yoru ga Osuki",1,"4050",2
"603","Género(s):ComediaGender BenderRomanceEscolarShounen",1,"Hamerare Host",1,"4051",4
"604","Género(s):ComediaGender BenderRomanceVida Escolar",2,"Hana-kun to Koisuru Watashi",2,"4052",1
"605","Género(s):ComediaGender BenderShonen-Ai",1,"Hana Haru",1,"4053",2
"606","Género(s):ComediaGender BenderVida EscolarRomance",1,"Hana Ni Arashi",1,"4054",1
"607","Género(s):ComediaHaremEcchiRomanceSobrenatural",1,"Hana ni kedamono",2,"4055",1
"608","Género(s):ComediaHaremMisterioRomanceEscolarShounen",1,"Hana ni Kuchizuke",1,"4056",3
"609","Género(s):ComediaHaremRecuentos De La VidaRomanceShonenVida Escolar",2,"Hana to Akuma",1,"4058",1
"610","Género(s):ComediaHaremRomance EscolarShounenSobrenatural",1,"Hana to Junketsu",1,"4060",1
"611","Género(s):ComediaHaremRomanceEscolarShounen",1,"hana yori dango",1,"4062",1
"612","Género(s):ComediaHaremRomanceEscolarShounenVida Cotidiana",2,"Hanayome to Futsuma no Kishi",1,"4066",1
"613","Género(s):ComediaHistóRicoRomanceSobrenatural",1,"Hanayomesama wa 16-sai",1,"4069",2
"614","Género(s):ComediaJoseiMaduroRomance",1,"Hanazakari no Omegaverse",1,"4070",1
"615","Género(s):ComediaJoseiMaduroRomanceShojoVida Escolar",1,"Hanikamu honey",2,"4072",2
"616","Género(s):ComediaJoseiRecuentos De La VidaRomanceVida Escolar",1,"Hanjuku Joshi",1,"4079",1
"617","Género(s):ComediaJoseiRomance",6,"Hantsu x Torasshu",1,"4081",1
"618","Género(s):ComediaJoseiRomanceShojo",2,"Hanza Sky",1,"4083",1
"619","Género(s):ComediaMaduro",1,"Hao men tian jia qian qi",1,"4084",1
"620","Género(s):ComediaMaduroRomanceEscolar",1,"Haomen qifu de chuntian",1,"4088",1
"621","Género(s):ComediaMaduroRomanceYaoi",2,"Hapi Mari",2,"4091",1
"622","Género(s):ComediaMagiaRomanceShojoSobrenaturalVida Escolar",1,"Happiness!",1,"4092",1
"623","Género(s):ComediaMisterioRomance",3,"Happy Marriage!",1,"4093",2
"624","Género(s):ComediaMisterioRomanceSeinenSobrenaturalVida Escolar",1,"Harapeko no Marie",1,"4096",1
"625","Género(s):ComediaParodiaSuper Poderes",2,"hardcore leveling warrior",2,"4098",1
"626","Género(s):ComediaPsicolóGicoRomanceEscolarShojo",1,"Haré lo que me pidas",1,"4099",2
"627","Género(s):ComediaPsicolóGicoRomanceSeinenVida Escolar",1,"Harem Castle",1,"4100",1
"628","Género(s):ComediaRecuentos De La Vida",3,"Hari Dormitory",1,"4102",1
"629","Género(s):ComediaRecuentos De La VidaDrama",1,"Haru-nee ga Boku ni xx Suru Riyuu",1,"4106",1
"630","Género(s):ComediaRecuentos De La VidaRomance",3,"Haru Matsu Bokura",2,"4108",3
"631","Género(s):ComediaRecuentos De La VidaRomanceSeinen",1,"Haru x Kiyo",1,"4110",1
"632","Género(s):ComediaRecuentos De La VidaRomanceSeinen ",1,"Haru Yo Koi",1,"4111",2
"633","Género(s):ComediaRecuentos De La VidaRomanceSeinenVida Escolar",2,"HARUKAZE NO ETRANGER",2,"4113",1
"634","Género(s):ComediaRecuentos De La VidaRomanceShojo",2,"Hasta que nuestros labios se toquen",1,"4115",2
"635","Género(s):ComediaRecuentos De La VidaRomanceShojoVida Escolar",2,"Hatarakanai Futari",1,"4117",1
"636","Género(s):ComediaRecuentos De La VidaRomanceVida Escolar",3,"hataraku maou-sama",1,"4121",1
"637","Género(s):ComediaRecuentos De La VidaRomanceYaoi",1,"Hatsu Haru",1,"4122",1
"638","Género(s):ComediaRecuentos De La VidaRomanceYaoi ",2,"Hatsu Inu",2,"4125",1
"639","Género(s):ComediaRecuentos De La VidaRomanceYuri",1,"Hatsujou Animal",1,"4128",1
"640","Género(s):ComediaRecuentos De La VidaShojo",3,"Hatsujou Virus",1,"4131",1
"641","Género(s):ComediaRecuentos De La VidaShonen-AiVida Escolar",1,"Hatsumei Princess",1,"4132",1
"642","Género(s):ComediaRecuentos De La VidaShonenSobrenaturalVida Escolar",2,"Hatsunetsu Libido",1,"4133",1
"643","Género(s):ComediaRecuentos De La VidaShonenVida Escolar",2,"Hayate no Gotoku!",1,"4135",1
"644","Género(s):ComediaRecuentos De La VidaVida Escolar",5,"Hazuki Kanon wa Amakunai",2,"4136",2
"645","Género(s):ComediaRecuentos De La VidaVida EscolarBoys LoveDramaWebcomic",1,"He is a High School Girl",3,"4140",2
"646","Género(s):ComediaRecuentos De La VidaYaoi",2,"He, him & us",3,"4144",1
"647","Género(s):ComediaRomance",12,"Heaven",1,"4295",1
"648","Género(s):ComediaRomanceDrama Vida Escolar",1,"Heaven & Hell Roman Company (Yaoi)",2,"4298",2
"649","Género(s):ComediaRomanceDramaVida Escolar",1,"HEESU EN LA CLASE 2",2,"4300",2
"650","Género(s):ComediaRomanceEcchiRecuentos De La Vida",1,"Hells Kitchen",2,"4305",2
"651","Género(s):ComediaRomanceEscolarSeinenVida Cotidiana",4,"Hensokukei Quadrangle",1,"4307",1
"652","Género(s):ComediaRomanceEscolarShojo",4,"Hentai Campus",2,"4311",1
"653","Género(s):ComediaRomanceEscolarShojoVida Cotidiana",3,"Hentai Ouji to Warawanai Neko",2,"4315",1
"654","Género(s):ComediaRomanceEscolarShounen",1,"Henyoku no Labyrinth",1,"4322",2
"655","Género(s):ComediaRomanceEscolarShounenSobrenatural",2,"her hero",1,"4324",1
"656","Género(s):ComediaRomanceEscolarShounenVida Cotidiana",2,"Her Pet",1,"4333",1
"657","Género(s):ComediaRomanceEscolarVida Cotidiana",1,"heritage",1,"4343",1
"658","Género(s):ComediaRomanceFantasíA",1,"Hermana deseosa de solo sexo",1,"4345",1
"659","Género(s):ComediaRomanceFantasíAHistóRico",1,"Hermosa Vida",1,"4348",1
"660","Género(s):ComediaRomanceFantasíASobrenatural",1,"Hero Waltz",1,"4356",1
"661","Género(s):ComediaRomanceRecuentos De La Vida",3,"Heroine Shikkaku",1,"4358",1
"662","Género(s):ComediaRomanceRecuentos De La VidaWebcomic",2,"Hetamen",1,"4359",2
"663","Género(s):ComediaRomanceRecuentos De La VidaYuri",1,"hey class president",1,"4360",1
"664","Género(s):ComediaRomanceSeinenVida Escolar",2,"Hey Class President! (yaoi)",1,"4363",2
"665","Género(s):ComediaRomanceShojo",3,"Hi Score Girl",1,"4366",1
"666","Género(s):ComediaRomanceShojoVida Escolar",19,"Hibi Chouchou",1,"4372",1
"667","Género(s):ComediaRomanceShonen-AiSobrenaturalVida EscolarYaoi",1,"HIDAMARI TO BENTOU DANSHI TO",1,"4453",1
"668","Género(s):ComediaRomanceShonen-AiYaoi",6,"Hidan no Aria",1,"4454",1
"669","Género(s):ComediaRomanceShonenSobrenaturalVida Escolar",1,"Hidoku Shinaide",2,"4460",1
"670","Género(s):ComediaRomanceShonenVida Escolar",4,"Hidoku Shinaide - Takanashi Akira Hen",1,"4462",2
"671","Género(s):ComediaRomanceShoujo-AiVida EscolarYuri",1,"Higashi no Kurume to Tonari no Meguru",1,"4465",1
"672","Género(s):ComediaRomanceShounenSobrenatural",1,"High-School DxD",3,"4466",3
"673","Género(s):ComediaRomanceSobrenatural",1,"High Score Girl",1,"4469",1
"674","Género(s):ComediaRomanceSobrenaturalYaoi",1,"Highschool of the Dead",2,"4471",1
"675","Género(s):ComediaRomanceVida Escolar",8,"Hiitorijime ~ Choukyou Ganbou",3,"4475",2
"676","Género(s):ComediaRomanceVida EscolarDrama",1,"Hime-sama Tanuki no Koizanyou",1,"4478",1
"677","Género(s):ComediaRomanceVida EscolarEcchiRecuentos De La VidaDeportes",2,"Himegoto Asobi",1,"4481",1
"678","Género(s):ComediaRomanceVida EscolarRecuentos De La Vida",1,"Himekishi ga Classmate!",1,"4485",1
"679","Género(s):ComediaRomanceVida EscolarRecuentos De La VidaYaoi",1,"Himitsu na Kimi ni Koi o Shita",1,"4487",1
"680","Género(s):ComediaRomanceVida EscolarYaoi",1,"Himitsu no Akuma-chan",2,"4490",1
"681","Género(s):ComediaRomanceWebcomic",1,"Himitsu no Juliet",1,"4493",1
"682","Género(s):ComediaRomanceWebcomicYonkoma",1,"himitsu wa kiss de abakareru",1,"4495",1
"683","Género(s):ComediaRomanceYaoi",7,"Himoto Aisare to Bitch no Jijou",1,"4496",1
"684","Género(s):ComediaRomanceYuri (Soft)",1,"Himouto! Umaru-Chan",1,"4500",1
"685","Género(s):ComediaSeinen",1,"Hinekure Chaser",1,"4502",1
"686","Género(s):ComediaShonen",1,"Hinekure Sakura ni Koi ga Saku",1,"4505",1
"687","Género(s):ComediaShonen-Ai (Yaoi Soft)Vida Escolar",1,"Hinomaru Zumou",2,"4510",1
"688","Género(s):ComediaShonenVida Escolar",1,"Hiren Trip",1,"4511",1
"689","Género(s):ComediaSobrenaturalRomance",1,"Hirunaka no Ryuusei",1,"4515",1
"690","Género(s):ComediaVida Escolar",2,"His House",1,"4517",1
"691","Género(s):ComediaVida EscolarDemoniosGender BenderReencarnacióN",1,"Hisho no O-shigoto?",1,"4518",1
"692","Género(s):ComediaVida EscolarDrama",1,"Hito Kui",2,"4519",1
"693","Género(s):ComediaVida EscolarRecuentos De La Vida",2,"Hitomi-sensei no Hokenshitsu",1,"4525",1
"694","Género(s):ComediaVida EscolarRomance",2,"Hitomi no Dokusenyoku",1,"4526",3
"695","Género(s):ComediaVida EscolarRomanceEcchi",1,"Hive",2,"4529",1
"696","Género(s):ComediaVida EscolarShonen-Ai (Yaoi Soft)Romance",1,"Hogosha Shikkaku Isen wo Koeta Yoru",1,"4530",2
"697","Género(s):ComediaVida EscolarSobrenaturalRomance",1,"Hohzuki Island",1,"4531",1
"698","Género(s):ComediaVida EscolarYaoi",1,"Holyland",1,"4534",1
"699","Género(s):ComediaVida EscolarYuriRomance",1,"Honey Bed Talk",1,"4536",1
"700","Género(s):ComediaYaoi",1,"Honey Lemon Soda",1,"4538",2
"701","Género(s):ComediaYaoiDrama",1,"honggane",1,"4539",1
"702","Género(s):ComediaYaoiRecuentos De La Vida ",1,"Honto Yajuu",1,"4545",2
"703","Género(s):ComediaYuri (Soft)Romance",1,"hooky",1,"4547",1
"704","Género(s):ComediaYuriRomance",1,"Hoozuki-san Chi no Aneki",2,"4551",1
"705","Género(s):ComedyEcchiHaremRomanceSchool LifeShounenSlice Of Life",1,"Horimiya",1,"4554",1
"706","Género(s):ComedyJoseiRomance",1,"Hoshi to Kuzu - Don't Worry, Be Happy",1,"4555",1
"707","Género(s):ComedyRomanceShoujoSlice Of Life",1,"Hoshigami-kun wa Douka Shite Iru",1,"4556",1
"708","Género(s):Demonios EcchiRomanceRecuentos De La Vida",1,"Hoshikuzu Gakuen C Course",1,"4557",1
"709","Género(s):DemoniosCiencia FiccióNMisterioHorrorAccióN",2,"Hotaru no Hikari",1,"4559",2
"710","Género(s):DemoniosDramaRomance",1,"Houfuku Kanojo to Koukatsu Kareshi",1,"4560",2
"711","Género(s):DemoniosEcchiGoreHorrorDramaMagia",3,"Houkago no Love Call",2,"4567",1
"712","Género(s):DemoniosEcchiRomanceRecuentos De La Vida",1,"Houkago, Koishita",1,"4569",1
"713","Género(s):DemoniosRomanceFantasíA",1,"Houou Gakuen Misoragumi",1,"4571",3
"714","Género(s):Deportes",1,"Houseki no Kuni",2,"4573",1
"715","Género(s):DeportesDramaRecuentos De La VidaSeinen",2,"How to Open a Triangular Riceball",1,"4574",1
"716","Género(s):DeportesDramaRomanceShonenVida Escolar",2,"Hozuki-san Chi no Aneki (+Imouto)",2,"4575",2
"717","Género(s):DeportesRomanceWebtoon",1,"Hundred!",1,"4576",1
"718","Género(s):Drama",1,"Hyakunichikan!!",1,"4579",1
"719","Género(s):Drama ReencarnacióNRomanceFantasíA",1,"Hyouketsu Kyoukai No Eden",1,"4585",2
"720","Género(s):DramaAccióNRomanceMisterioAdult",1,"Hyulla's Race",2,"4592",1
"721","Género(s):DramaAventuraEcchiRomance",1,"Hyullas Race",1,"4593",1
"722","Género(s):DramaComediaRecuentos De La Vida",1,"I am a hero",1,"4598",1
"723","Género(s):DramaComediaRomanceVida Escolar",1,"I Am My Wife.",1,"4599",1
"724","Género(s):DramaComediaRomanceVida EscolarYaoi",1,"I Love YOO",1,"4600",1
"725","Género(s):DramaComediaVida EscolarRomance",1,"I LOVE YOU BABY",3,"4601",1
"726","Género(s):DramaComediaYaoi",1,"I must admit!",1,"4604",1
"727","Género(s):DramaEcchi",3,"Ibitsu (Okada Kazuto)",1,"4608",2
"728","Género(s):DramaEcchiComediaVida EscolarRomance",1,"Ibitsu no Amalgam",1,"4613",1
"729","Género(s):DramaEcchiEscolarVida CotidianaYuri",1,"ichiban ushiro no daimaou",2,"4614",1
"730","Género(s):DramaEcchiGender BenderMaduroPsicolóGicoRecuentos De La Vida",2,"Ichigo Jikan",1,"4618",2
"731","Género(s):DramaEcchiGender BenderMaduroRomanceShojoTragedia",1,"Ichijou Kaname to wa Kaka Waranai",3,"4622",1
"732","Género(s):DramaEcchiGender BenderRomanceSeinenVida Cotidiana",1,"Ichinose Kyoudai wa Gaman Dekinai",1,"4626",2
"733","Género(s):DramaEcchiHaremFantasíARomance",2,"Id-The Greatest Fusion Fantasy",1,"4627",1
"734","Género(s):DramaEcchiHaremMaduroRomanceSeinen",2,"Idol Na Kanojo To Wotaku Na Boku To",1,"4631",1
"735","Género(s):DramaEcchiHaremPsicolóGico",1,"Idol Shopping",1,"4636",1
"736","Género(s):DramaEcchiHaremPsicolóGicoRomanceSeinenSobrenatural",1,"Idol Sister",2,"4638",1
"737","Género(s):DramaEcchiHaremRomance ThrillerWebcomic",1,"if you hate me that much",1,"4639",1
"738","Género(s):DramaEcchiHistoria",1,"Iinazuke Kyoutei",1,"4640",1
"739","Género(s):DramaEcchiMaduro",2,"Ikasama Memory",1,"4646",1
"740","Género(s):DramaEcchiMaduroPsicolóGicoSeinenTragedia",1,"Ikenai Koto, Shiyo?",1,"4648",1
"741","Género(s):DramaEcchiMaduroRecuentos De La VidaRomanceSeinen",1,"Ikkitousen",1,"4649",2
